Day,Date,HomeTeam,AwayTeam,HomePts,AwayPts
Fri,2024-07-12,Atlanta Dream,Las Vegas Aces,70,84
Fri,2024-07-12,Indiana Fever,Phoenix Mercury,95,86
Fri,2024-07-12,Seattle Storm,Minnesota Lynx,91,63
Sat,2024-07-13,Chicago Sky,New York Liberty,67,81
Sat,2024-07-13,Dallas Wings,Los Angeles Sparks,81,87
Sun,2024-07-14,Connecticut Sun,Phoenix Mercury,96,69
Sun,2024-07-14,Minnesota Lynx,Indiana Fever,74,81
Sun,2024-07-14,Seattle Storm,Atlanta Dream,81,70
Sun,2024-07-14,Washington Mystics,Las Vegas Aces,77,89
Tue,2024-07-16,Los Angeles Sparks,Seattle Storm,83,89
Tue,2024-07-16,Las Vegas Aces,Chicago Sky,85,93
Tue,2024-07-16,New York Liberty,Connecticut Sun,82,74
Tue,2024-07-16,Washington Mystics,Phoenix Mercury,87,96
Wed,2024-07-17,Dallas Wings,Indiana Fever,101,93
Wed,2024-07-17,Minnesota Lynx,Atlanta Dream,86,79
Thu,2024-08-15,Chicago Sky,Phoenix Mercury,,
Thu,2024-08-15,Los Angeles Sparks,New York Liberty,,
Thu,2024-08-15,Minnesota Lynx,Washington Mystics,,
Fri,2024-08-16,Atlanta Dream,Seattle Storm,,
Fri,2024-08-16,Dallas Wings,Connecticut Sun,,
Fri,2024-08-16,Indiana Fever,Phoenix Mercury,,
Sat,2024-08-17,Los Angeles Sparks,Chicago Sky,,
Sat,2024-08-17,Las Vegas Aces,New York Liberty,,
Sat,2024-08-17,Washington Mystics,Minnesota Lynx,,
Sun,2024-08-18,Atlanta Dream,Connecticut Sun,,
Sun,2024-08-18,Indiana Fever,Seattle Storm,,
Sun,2024-08-18,Las Vegas Aces,Los Angeles Sparks,,
Sun,2024-08-18,Phoenix Mercury,Chicago Sky,,
Tue,2024-08-20,Connecticut Sun,Los Angeles Sparks,,
Tue,2024-08-20,New York Liberty,Dallas Wings,,
Tue,2024-08-20,Washington Mystics,Seattle Storm,,
Wed,2024-08-21,Atlanta Dream,Phoenix Mercury,,
Wed,2024-08-21,Las Vegas Aces,Minnesota Lynx,,
Thu,2024-08-22,New York Liberty,Dallas Wings,,
Fri,2024-08-23,Atlanta Dream,Phoenix Mercury,,
Fri,2024-08-23,Connecticut Sun,Chicago Sky,,
Fri,2024-08-23,Minnesota Lynx,Las Vegas Aces,,
Fri,2024-08-23,Washington Mystics,Los Angeles Sparks,,
Sat,2024-08-24,Minnesota Lynx,Indiana Fever,,
Sat,2024-08-24,New York Liberty,Connecticut Sun,,
Sun,2024-08-25,Chicago Sky,Las Vegas Aces,,
Sun,2024-08-25,Dallas Wings,Los Angeles Sparks,,
Mon,2024-08-26,Atlanta Dream,Indiana Fever,,
Mon,2024-08-26,Phoenix Mercury,New York Liberty,,
Mon,2024-08-26,Seattle Storm,Washington Mystics,,
Tue,2024-08-27,Dallas Wings,Las Vegas Aces,,
Wed,2024-08-28,Chicago Sky,Washington Mystics,,
Wed,2024-08-28,Indiana Fever,Connecticut Sun,,
Wed,2024-08-28,Los Angeles Sparks,New York Liberty,,
Wed,2024-08-28,Phoenix Mercury,Minnesota Lynx,,
Wed,2024-08-28,Seattle Storm,Atlanta Dream,,
Fri,2024-08-30,Chicago Sky,Indiana Fever,,
Fri,2024-08-30,Dallas Wings,Minnesota Lynx,,
Fri,2024-08-30,Las Vegas Aces,Atlanta Dream,,
Fri,2024-08-30,Seattle Storm,New York Liberty,,
Sat,2024-08-31,Washington Mystics,Connecticut Sun,,
Sun,2024-09-01,Connecticut Sun,Seattle Storm,,
Sun,2024-09-01,Dallas Wings,Indiana Fever,,
Sun,2024-09-01,Los Angeles Sparks,Atlanta Dream,,
Sun,2024-09-01,Minnesota Lynx,Chicago Sky,,
Sun,2024-09-01,Phoenix Mercury,Las Vegas Aces,,
Tue,2024-09-03,Connecticut Sun,Seattle Storm,,
Tue,2024-09-03,Dallas Wings,Washington Mystics,,
Tue,2024-09-03,Las Vegas Aces,Chicago Sky,,
Tue,2024-09-03,Phoenix Mercury,Atlanta Dream,,
